distance,current_time,weather,season,traffic,estimate_deliver_time
1.05,1149,cloudy,spring,93,9
7.91,1160,windy,fall,2,1
4.34,1237,rainy,summer,4,1
9.14,188,windy,winter,29,24
9.17,143,rainy,summer,50,43
0.07,477,sunny,summer,71,0
7.06,691,sunny,fall,30,19
1.37,292,windy,summer,79,9
8.72,486,cloudy,fall,73,60
0.21,1272,sunny,spring,72,1
9.89,944,cloudy,spring,58,54
2.93,352,windy,summer,77,20
7.8,1028,rainy,winter,70,51
7.63,1296,rainy,spring,36,25
0.52,1261,rainy,spring,54,2
7.67,119,sunny,summer,84,58
7.28,1064,rainy,summer,20,14
0.09,338,sunny,summer,88,0
8.1,1357,sunny,winter,43,31
9.29,172,cloudy,spring,41,36
0.59,87,cloudy,fall,26,1
7.61,1243,windy,winter,51,35
7.98,689,sunny,summer,5,3
7.57,296,cloudy,summer,20,14
3.62,521,sunny,spring,67,21
7.93,633,windy,spring,50,36
4.45,1147,sunny,fall,10,4
9.28,1317,windy,summer,81,68
0.86,335,sunny,fall,24,1
9.53,507,sunny,fall,26,22
5.03,498,cloudy,winter,97,46
0.6,1371,sunny,winter,63,3
6.13,1026,sunny,fall,77,42
9.05,918,windy,fall,27,22
4.91,654,rainy,winter,97,45
6.19,328,rainy,summer,46,27
1.89,38,sunny,winter,40,6
4.99,636,windy,winter,47,21
2.05,1436,rainy,winter,39,7
7.18,895,windy,spring,79,51
0.61,165,rainy,fall,93,5
7.72,348,windy,summer,72,50
0.27,505,cloudy,fall,87,2
0.67,830,sunny,fall,23,1
0.45,1325,rainy,winter,99,4
7.15,459,sunny,summer,57,36
8.86,673,rainy,spring,43,36
5.9,584,cloudy,fall,19,10
8.82,435,rainy,spring,86,71
0.95,178,rainy,winter,80,7
0.8,1292,cloudy,spring,67,4
3.89,1000,sunny,summer,3,1
9.72,988,windy,winter,47,41
5.1,349,cloudy,fall,43,21
2.4,21,windy,fall,93,20
6.53,357,rainy,fall,22,13
9.72,655,windy,winter,90,79
5.69,885,windy,summer,40,20
0.4,877,windy,fall,83,3
6.15,1237,rainy,spring,55,31
4.52,935,rainy,summer,77,33
6.8,118,cloudy,winter,99,64
6.07,1427,rainy,summer,93,53
0.32,679,sunny,winter,1,0
0.63,808,cloudy,summer,59,3
4.79,94,cloudy,winter,51,23
0.8,320,windy,winter,54,4
9.75,328,cloudy,winter,23,21
6.19,748,windy,fall,20,12
5.26,767,cloudy,winter,76,39
1.34,106,rainy,winter,60,7
1.36,1021,rainy,summer,6,0
5.59,665,sunny,summer,30,15
5.22,1019,windy,spring,24,11
6.46,976,rainy,fall,48,29
1.02,834,sunny,winter,30,3
5.42,748,windy,summer,30,15
7.99,60,sunny,summer,24,17
8.31,1308,cloudy,summer,30,23
6.06,1219,cloudy,winter,94,54
1.1,116,sunny,winter,90,9
6.64,617,rainy,summer,30,19
8.35,514,rainy,summer,68,54
9.08,1343,windy,fall,8,6
5.55,443,rainy,fall,67,35
8.67,1107,rainy,fall,62,53
2.97,757,cloudy,summer,18,5
0.29,1184,cloudy,fall,77,2
0.67,895,sunny,summer,65,4
2.2,13,cloudy,summer,96,19
1.85,889,windy,fall,20,3
5.7,294,rainy,summer,41,22
0.01,171,cloudy,winter,64,0
8.04,277,rainy,winter,56,42
8.59,497,cloudy,fall,12,9
8.2,112,sunny,summer,3,2
3.14,771,sunny,winter,89,26
1.98,497,cloudy,winter,92,17
0.9,502,rainy,summer,82,7
3.34,48,rainy,fall,84,26
6.69,898,sunny,winter,48,28
1.69,103,cloudy,summer,25,4
3.16,189,sunny,summer,14,4
7.57,1213,windy,spring,1,0
5.89,923,cloudy,fall,93,51
7.46,1223,sunny,winter,79,53
8.11,1270,rainy,winter,82,63
8.01,269,rainy,fall,57,43
1.32,832,cloudy,fall,73,9
0.1,662,cloudy,summer,2,0
1.01,148,rainy,fall,9,0
7.62,1071,sunny,winter,8,6
9.5,433,rainy,summer,38,34
5.5,741,windy,winter,86,45
4.42,580,windy,winter,69,27
0.75,539,rainy,winter,98,7
0.02,188,sunny,summer,69,0
2.59,1220,rainy,fall,40,9
5.22,851,cloudy,spring,93,45
7.97,6,sunny,summer,91,65
1.35,7,sunny,spring,72,9
4.99,671,windy,winter,19,8
4.11,1313,windy,winter,79,29
5.91,1355,rainy,winter,9,4
6.63,361,cloudy,spring,86,54
9.56,761,windy,winter,96,87
0.99,914,cloudy,winter,73,6
5.99,333,rainy,spring,47,26
9.68,396,rainy,spring,42,38
6.8,968,rainy,summer,24,15
1.96,580,cloudy,summer,11,1
1.53,772,windy,fall,94,13
0.68,413,cloudy,winter,85,5
4.12,314,rainy,winter,32,12
4.22,744,cloudy,winter,57,24
9.93,1269,cloudy,winter,91,85
8.99,643,sunny,summer,32,25
6.75,1397,rainy,summer,24,15
9.24,1430,sunny,fall,40,33
1.56,149,cloudy,winter,87,12
9.36,556,sunny,summer,35,29
1.66,143,sunny,spring,50,7
4.94,561,sunny,winter,54,24
5.39,893,sunny,fall,86,42
9.42,623,sunny,summer,10,8
7.25,565,rainy,winter,66,45
3.66,384,rainy,winter,22,7
0.89,1066,cloudy,fall,33,3
8.42,431,windy,winter,81,61
7.05,603,rainy,fall,3,1
4.49,1253,sunny,fall,21,8
9.27,96,cloudy,summer,30,26
0.65,1315,sunny,winter,58,3
9.39,683,rainy,spring,61,54
7.12,408,cloudy,winter,29,19
9.82,661,cloudy,winter,72,67
5.64,970,rainy,winter,33,17
8.89,1406,sunny,spring,7,5
4.66,1230,rainy,fall,64,28
1.68,0,sunny,fall,63,9
9.31,645,windy,fall,67,56
0.44,1291,sunny,fall,82,3
3.73,170,rainy,spring,46,16
3.91,216,sunny,summer,71,25
9.88,1421,windy,winter,36,32
1.66,621,rainy,winter,29,4
4.41,286,sunny,fall,60,24
8.36,47,rainy,spring,77,60
7.95,165,cloudy,fall,16,12
4.84,1098,cloudy,winter,72,34
0.67,1287,sunny,spring,78,4
0.15,761,rainy,winter,62,1
3.44,403,cloudy,summer,1,0
1.48,1215,cloudy,winter,61,8
1.65,450,rainy,summer,94,15
8.98,1090,sunny,fall,92,78
3.48,463,sunny,summer,2,0
1.16,754,sunny,spring,91,10
6.06,1041,windy,summer,13,7
3.23,526,windy,spring,88,25
6.9,622,sunny,spring,40,24
8.78,726,sunny,winter,65,54
0.5,1198,cloudy,spring,19,0
5.74,619,sunny,summer,17,9
8.19,1282,cloudy,fall,10,7
0.49,399,rainy,winter,2,0
1.62,394,cloudy,spring,70,10
4.76,314,windy,winter,18,7
5.65,1019,rainy,fall,71,37
9.95,1173,rainy,summer,92,87
5.54,754,rainy,spring,1,0
9.69,1369,rainy,summer,26,24
0.08,596,sunny,summer,19,0
6.25,726,cloudy,spring,82,51
2.93,1258,sunny,spring,20,5
0.24,755,rainy,summer,62,1
8.85,115,cloudy,fall,22,18
5.19,677,windy,winter,30,14
8.67,1131,windy,winter,56,46
3.54,1177,sunny,winter,6,1
3.69,1020,cloudy,summer,2,0
3.11,970,rainy,fall,11,3
7.7,974,windy,winter,84,58
3.26,818,windy,winter,15,4
4.28,322,cloudy,winter,44,18
1.15,733,windy,spring,72,7
6.36,126,sunny,spring,59,33
5.35,1385,rainy,fall,6,3
0.15,920,cloudy,fall,49,0
4.5,1289,sunny,fall,13,5
8.68,529,rainy,fall,24,19
3.09,294,cloudy,spring,98,28
5.27,1404,windy,winter,21,10
0.31,254,sunny,winter,41,1
1.43,733,cloudy,fall,14,1
1.82,1129,windy,fall,82,14
0.91,108,sunny,spring,68,5
0.65,1267,sunny,spring,89,5
8.93,228,cloudy,winter,100,84
7.59,557,windy,winter,95,65
9.97,297,cloudy,summer,67,63
2.3,1227,rainy,fall,88,19
9.2,439,sunny,winter,19,15
1.64,26,windy,fall,3,0
3.07,831,rainy,winter,68,19
2.7,327,sunny,spring,64,15
7.55,113,sunny,spring,9,6
8.28,644,cloudy,summer,97,76
3.09,890,rainy,fall,23,6
9.61,753,rainy,winter,2,1
4.05,723,windy,fall,66,25
5.77,10,rainy,summer,46,25
1.19,1045,windy,winter,81,9
9.53,991,rainy,spring,38,34
0.68,1176,cloudy,summer,67,4
6.32,665,rainy,fall,62,37
2.66,1323,sunny,winter,6,1
4.27,724,windy,spring,45,18
7.86,313,cloudy,spring,10,7
5.5,540,cloudy,fall,25,13
8.35,858,cloudy,fall,53,42
2.61,1324,rainy,fall,55,13
6.2,434,sunny,fall,36,19
9.88,956,cloudy,spring,68,63
3.94,1186,windy,summer,32,11
6.97,705,sunny,fall,90,59
3.93,124,sunny,fall,76,27
0.45,334,rainy,summer,25,1
7.56,1388,sunny,winter,36,24
4.15,1167,cloudy,summer,80,33
3.71,576,rainy,fall,44,15
6.35,1288,windy,summer,42,24
3.34,85,windy,fall,65,19
4.97,328,windy,summer,48,21
7.62,609,windy,summer,62,43
1.21,142,rainy,summer,7,0
6.03,299,sunny,spring,58,31
1.01,56,rainy,summer,21,1
9.62,948,windy,summer,83,72
0.98,1235,windy,winter,70,6
9.37,228,cloudy,fall,95,84
7.57,474,rainy,fall,12,8
2.38,337,cloudy,winter,92,21
5.17,178,sunny,spring,69,32
1.25,952,cloudy,spring,6,0
4.45,950,cloudy,winter,6,2
7.13,1321,rainy,summer,69,46
4.06,1421,windy,summer,78,28
6.45,338,cloudy,winter,49,30
7.29,1374,rainy,summer,66,45
8.42,643,cloudy,spring,80,63
8.96,295,sunny,summer,74,60
6.73,270,sunny,summer,5,3
9.26,1152,sunny,summer,10,9
2.95,63,rainy,summer,92,25
6.93,1086,sunny,spring,53,34
4.16,219,rainy,fall,1,0
8.59,1067,windy,winter,96,78
8.05,345,windy,summer,93,67
2.77,421,sunny,summer,35,9
4.02,1388,sunny,summer,66,24
7.34,1323,rainy,spring,10,7
1.81,982,windy,summer,81,13
2.3,82,cloudy,fall,99,21
0.51,348,windy,summer,100,4
4.08,249,cloudy,spring,43,16
9.43,285,windy,winter,100,85
7.31,1350,sunny,fall,54,35
7.79,117,cloudy,fall,6,4
1.82,517,sunny,spring,81,13
8.5,713,rainy,spring,22,18
9.06,367,windy,fall,59,48
5.69,422,cloudy,winter,15,8
1.76,369,rainy,summer,32,5
8.56,864,sunny,winter,16,12
5.99,543,cloudy,winter,24,13
2.86,1401,rainy,fall,90,24
8.87,1300,rainy,fall,53,44
8.73,1420,sunny,winter,74,58
2.79,73,cloudy,spring,17,4
5.5,1043,cloudy,spring,86,44
3.57,191,cloudy,fall,66,22
5.54,1010,cloudy,spring,8,4
8.05,653,windy,spring,95,69
1.63,485,cloudy,winter,50,7
1.91,36,cloudy,spring,23,4
7.18,104,windy,summer,59,38
5.08,945,cloudy,summer,96,46
8.36,1007,cloudy,fall,76,60
7.56,480,rainy,summer,46,33
3.66,692,cloudy,winter,11,4
5.06,485,sunny,spring,65,29
7.36,1062,windy,winter,67,46
4.87,1366,windy,spring,25,10
9.72,417,cloudy,winter,87,80
2.33,815,cloudy,summer,14,3
4.21,1132,windy,summer,62,25
6.83,714,cloudy,fall,91,61
2.83,1321,rainy,spring,87,23
8.71,40,cloudy,spring,96,79
9.36,394,cloudy,spring,36,31
3.68,532,cloudy,summer,41,14
4.27,763,sunny,summer,13,5
9.15,479,cloudy,fall,19,16
2.0,990,cloudy,spring,46,8
4.57,1005,sunny,winter,2,0
8.3,657,rainy,winter,19,15
0.27,283,cloudy,spring,24,0
2.79,1438,rainy,fall,10,2
0.58,1058,rainy,summer,42,2
8.92,771,rainy,spring,90,79
9.45,1354,windy,fall,39,33
4.4,46,rainy,spring,70,29
1.2,533,windy,spring,27,3
6.79,186,sunny,spring,64,39
6.92,1434,cloudy,summer,28,18
9.62,527,sunny,fall,99,85
5.08,77,windy,winter,87,40
5.14,582,windy,winter,10,4
5.71,905,cloudy,summer,87,47
1.78,444,sunny,spring,89,14
3.31,366,cloudy,winter,79,24
6.56,49,sunny,fall,12,7
0.84,846,cloudy,fall,77,6
1.9,1172,cloudy,summer,85,15
9.25,978,windy,spring,31,25
5.45,1009,sunny,winter,36,18
7.83,516,sunny,spring,55,39
7.85,555,windy,spring,46,32
1.33,129,sunny,winter,95,11
8.25,182,rainy,fall,73,57
6.56,819,sunny,summer,37,22
8.68,421,sunny,winter,5,4
9.8,1311,rainy,winter,95,88
4.01,770,rainy,summer,9,3
2.01,493,rainy,winter,68,13
5.53,655,windy,spring,47,23
9.37,628,cloudy,fall,37,33
5.28,371,windy,fall,44,21
4.62,693,cloudy,spring,21,9
3.48,1132,windy,spring,55,18
8.95,643,rainy,summer,43,36
0.09,274,windy,summer,48,0
1.41,56,windy,summer,30,3
4.39,1077,sunny,fall,23,9
8.46,723,sunny,winter,62,49
6.16,112,windy,summer,87,48
3.58,394,windy,spring,68,22
5.12,181,sunny,spring,13,6
8.86,217,rainy,summer,1,0
6.16,950,sunny,spring,44,24
2.33,786,cloudy,summer,62,13
1.33,1395,sunny,spring,87,10
6.33,704,cloudy,spring,88,55
5.89,933,windy,summer,85,45
6.06,816,sunny,winter,67,36
6.26,1202,cloudy,summer,10,6
9.92,1392,windy,fall,9,7
7.49,1374,rainy,fall,34,24
8.65,472,sunny,summer,88,69
5.41,420,windy,fall,48,23
8.64,543,windy,spring,71,55
5.27,768,rainy,fall,46,24
3.9,345,windy,winter,19,6
8.15,746,windy,spring,92,71
9.2,1369,windy,summer,37,31
9.39,121,windy,summer,63,54
1.6,679,windy,spring,83,12
8.66,1230,windy,fall,62,48
4.39,198,cloudy,fall,66,27
6.82,657,sunny,fall,41,25
6.19,1046,sunny,fall,24,13
5.68,1338,cloudy,spring,41,22
6.66,549,sunny,spring,34,20
7.64,440,windy,fall,64,44
4.97,162,rainy,spring,20,9
4.98,90,windy,summer,28,12
8.75,299,rainy,summer,3,2
2.58,634,cloudy,winter,88,21
1.59,254,cloudy,fall,48,7
5.14,492,cloudy,winter,22,10
0.45,237,cloudy,fall,35,1
2.96,40,rainy,summer,23,6
4.82,1198,windy,spring,31,13
0.08,1383,cloudy,spring,84,0
6.29,7,sunny,summer,95,54
8.19,75,rainy,summer,67,52
8.12,9,cloudy,fall,38,29
5.91,966,cloudy,winter,26,14
8.44,577,sunny,spring,87,66
9.91,1117,sunny,spring,51,48
0.23,508,rainy,summer,71,1
2.73,1357,rainy,fall,3,0
7.59,10,rainy,summer,83,60
7.23,254,cloudy,spring,72,49
10.0,1318,windy,fall,43,39
7.32,101,windy,summer,78,52
1.12,1085,sunny,fall,10,1
9.75,757,windy,summer,98,91
7.2,357,windy,fall,1,0
8.21,480,rainy,winter,73,57
1.42,426,rainy,winter,65,9
3.25,771,cloudy,spring,29,9
9.08,632,windy,fall,43,35
6.3,269,windy,winter,61,34
8.28,440,windy,spring,58,43
5.07,586,windy,fall,41,18
1.64,1165,rainy,summer,57,9
6.83,207,cloudy,fall,90,58
7.82,15,windy,spring,34,24
6.41,672,sunny,winter,74,43
2.8,173,sunny,winter,59,15
9.67,111,cloudy,winter,94,86
0.04,15,sunny,winter,46,0
9.11,933,cloudy,summer,48,41
3.91,467,sunny,winter,93,33
8.94,423,sunny,fall,81,65
6.31,387,rainy,winter,56,33
4.34,420,windy,spring,64,25
4.51,1256,sunny,fall,77,31
1.15,613,rainy,spring,36,4
4.75,971,cloudy,summer,32,14
7.97,592,rainy,fall,64,48
3.7,125,windy,fall,45,15
3.14,211,sunny,winter,16,4
0.55,855,cloudy,winter,63,3
5.16,1100,cloudy,winter,41,21
7.02,750,cloudy,summer,70,49
1.3,1184,windy,winter,11,1
0.91,973,windy,winter,61,4
0.6,1375,sunny,summer,20,1
8.12,1218,cloudy,fall,31,24
2.66,710,sunny,fall,68,16
7.33,42,cloudy,spring,37,25
5.07,1420,rainy,summer,27,13
4.96,123,sunny,fall,33,15
4.23,1316,rainy,winter,24,9
6.38,388,cloudy,spring,55,33
3.61,1211,windy,winter,17,5
3.87,575,windy,summer,95,33
1.57,953,cloudy,spring,92,13
5.51,227,sunny,winter,16,7
4.01,798,cloudy,fall,74,28
0.49,957,windy,summer,44,1
6.16,117,sunny,winter,60,33
5.64,477,cloudy,fall,32,16
1.46,66,windy,summer,8,1
1.07,237,cloudy,spring,76,7
3.2,838,rainy,fall,20,6
4.46,1259,rainy,winter,65,27
3.43,562,cloudy,spring,58,18
7.9,1252,cloudy,summer,66,49
4.08,1282,rainy,winter,54,21
6.26,420,windy,winter,25,14
1.71,197,cloudy,spring,95,15
1.96,890,cloudy,winter,8,1
2.95,799,cloudy,summer,32,9
8.25,234,cloudy,fall,84,65
4.07,707,windy,spring,15,6
7.67,525,rainy,spring,37,27
0.13,709,sunny,fall,91,1
9.32,454,cloudy,spring,16,13
1.77,282,windy,winter,38,6
5.23,1042,sunny,summer,47,22
5.14,1190,rainy,spring,27,13
4.16,374,rainy,summer,18,7
1.19,165,cloudy,summer,76,8
7.47,659,sunny,summer,14,9
1.45,180,cloudy,fall,47,6
5.14,200,sunny,fall,89,41
3.21,816,windy,summer,21,6
9.18,19,sunny,summer,84,69
3.69,629,cloudy,summer,40,13
6.2,522,cloudy,spring,40,23
8.05,324,cloudy,fall,45,34
7.42,189,sunny,spring,27,18
3.21,9,windy,winter,37,10
7.71,224,windy,summer,12,8
3.13,488,windy,winter,73,21
8.73,151,rainy,summer,27,22
5.56,413,windy,winter,16,7
6.11,109,rainy,winter,31,18
9.82,1169,sunny,spring,28,25
8.8,1328,sunny,winter,62,49
1.74,512,sunny,winter,71,11
4.99,467,rainy,fall,6,3
6.96,129,cloudy,fall,95,62
1.57,770,windy,fall,70,10
5.99,601,windy,spring,9,4
2.14,790,cloudy,summer,8,1
1.91,618,windy,spring,17,3
1.26,232,cloudy,summer,40,4
7.44,981,cloudy,fall,28,19
8.61,856,cloudy,summer,44,36
4.04,522,sunny,summer,89,32
2.57,693,cloudy,fall,4,1
6.4,747,cloudy,spring,86,54
7.03,509,cloudy,fall,1,0
1.21,108,cloudy,spring,6,0
3.09,653,sunny,winter,10,3
9.56,914,sunny,spring,17,14
3.08,1253,cloudy,fall,89,25
1.84,581,windy,winter,32,5
0.23,1046,windy,fall,54,1
3.5,1241,windy,fall,45,14
3.73,1407,cloudy,winter,29,10
0.86,878,sunny,winter,86,6
3.21,189,sunny,fall,96,27
9.89,82,rainy,spring,52,48
5.52,174,sunny,spring,87,43
5.05,835,cloudy,summer,46,22
9.93,1153,rainy,spring,95,93
4.15,583,rainy,spring,56,22
3.92,125,sunny,fall,61,21
6.22,482,cloudy,winter,11,6
2.91,824,cloudy,fall,33,9
0.59,116,rainy,spring,17,1
8.17,852,cloudy,spring,8,6
2.53,812,cloudy,spring,62,15
6.47,322,windy,winter,96,56
3.14,1278,rainy,spring,37,10
6.02,1023,sunny,winter,81,44
1.55,715,rainy,summer,7,1
5.05,1129,windy,fall,15,7
1.42,469,rainy,fall,29,3
2.66,1119,sunny,fall,21,5
4.97,788,sunny,spring,19,8
6.07,1279,cloudy,spring,99,57
8.53,879,sunny,summer,73,56
3.62,1362,sunny,fall,92,30
1.57,567,rainy,spring,24,3
8.46,243,rainy,spring,97,77
8.53,1172,windy,fall,93,72
9.69,1296,windy,winter,69,60
4.28,1363,sunny,spring,53,20
5.97,1117,windy,winter,98,55
8.67,1119,windy,spring,93,76
8.31,496,windy,winter,50,37
9.58,445,windy,winter,90,78
5.22,670,windy,summer,99,46
3.78,1104,windy,summer,56,20
0.91,601,sunny,fall,33,3
7.51,57,cloudy,spring,39,27
5.45,223,rainy,fall,6,3
8.56,525,cloudy,spring,16,13
8.63,910,sunny,winter,60,46
8.61,1383,sunny,spring,20,15
0.92,1019,windy,winter,22,1
3.6,987,rainy,winter,20,6
6.44,642,windy,summer,85,49
0.34,481,windy,fall,87,2
8.75,538,cloudy,summer,85,70
6.23,944,sunny,summer,62,34
0.63,834,rainy,summer,49,3
9.32,521,windy,winter,90,76
6.77,679,sunny,spring,78,47
2.09,1272,cloudy,spring,13,2
9.3,272,sunny,fall,16,13
0.66,133,sunny,winter,60,3
3.64,1163,sunny,fall,35,12
9.79,1010,cloudy,summer,22,20
1.77,399,windy,winter,91,14
0.85,645,rainy,winter,86,7
2.09,1309,sunny,winter,81,15
3.46,771,rainy,fall,76,25
3.87,125,rainy,winter,37,13
5.4,847,rainy,fall,13,6
8.62,1265,rainy,winter,78,63
6.29,741,windy,fall,1,0
7.92,1417,sunny,fall,56,40
3.21,315,sunny,spring,50,14
5.95,507,windy,winter,99,53
7.21,289,rainy,spring,43,29
4.25,1130,windy,fall,80,32
6.3,535,cloudy,fall,86,51
1.35,101,windy,winter,97,12
0.66,957,cloudy,winter,80,4
9.91,107,rainy,spring,57,53
8.55,564,sunny,winter,14,10
3.04,408,sunny,fall,16,4
9.11,1412,sunny,spring,20,16
9.9,431,sunny,winter,52,46
4.09,1011,windy,fall,41,15
0.15,299,cloudy,winter,65,1
4.47,618,windy,summer,87,35
6.26,755,rainy,spring,11,6
3.12,119,rainy,fall,34,10
2.94,761,windy,spring,43,12
3.84,675,rainy,winter,60,21
8.4,462,sunny,fall,36,27
4.05,180,rainy,fall,72,27
5.88,374,cloudy,fall,54,30
3.98,1191,cloudy,winter,17,6
8.67,90,rainy,winter,48,39
6.69,702,rainy,summer,15,10
6.19,1346,windy,summer,42,23
8.51,620,cloudy,spring,10,7
4.66,1057,windy,spring,72,31
6.7,1385,windy,summer,97,58
6.24,418,cloudy,winter,33,19
7.62,440,windy,summer,12,8
0.83,1069,rainy,fall,24,1
2.17,944,sunny,winter,26,5
9.67,1169,cloudy,fall,29,27
8.1,712,cloudy,winter,18,14
5.12,1156,cloudy,spring,66,33
0.98,1389,windy,fall,74,6
2.89,1276,sunny,fall,8,1
6.73,1036,windy,summer,67,40
5.38,1326,sunny,summer,69,33
8.26,469,sunny,winter,54,40
1.98,712,windy,summer,69,13
6.66,767,sunny,summer,49,31
9.11,4,sunny,spring,16,13
0.41,713,rainy,summer,39,1
9.11,726,cloudy,winter,91,82
0.05,1153,windy,summer,21,0
6.4,522,rainy,spring,29,17
4.45,879,windy,summer,13,5
4.98,297,sunny,summer,47,21
1.71,742,sunny,summer,60,9
1.87,457,sunny,summer,39,6
2.49,542,sunny,summer,28,6
4.25,253,windy,summer,6,2
1.96,488,windy,winter,98,17
1.56,1216,windy,winter,24,3
8.53,1243,cloudy,summer,98,79
4.91,1245,cloudy,winter,5,2
6.62,360,windy,winter,98,58
7.65,217,windy,fall,16,10
3.85,454,sunny,summer,26,9
1.34,983,windy,spring,64,7
7.37,13,sunny,winter,56,37
3.83,276,sunny,spring,53,18
4.67,1384,sunny,winter,8,3
4.88,954,sunny,spring,28,12
3.5,367,cloudy,spring,40,13
5.05,1324,rainy,fall,42,19
8.9,338,rainy,spring,38,31
4.99,480,cloudy,summer,66,31
6.18,811,windy,winter,66,37
3.54,364,sunny,summer,74,23
5.77,861,rainy,winter,34,18
7.85,206,windy,summer,17,12
6.64,395,sunny,spring,5,3
2.83,1328,cloudy,fall,75,19
0.16,487,windy,summer,64,1
4.43,978,windy,winter,10,4
5.78,574,sunny,summer,3,1
7.14,605,rainy,fall,5,3
2.54,820,rainy,spring,16,3
1.79,75,windy,winter,98,16
0.75,243,rainy,summer,8,0
9.53,838,windy,spring,6,5
0.24,875,sunny,fall,22,0
8.45,1273,windy,summer,79,60
4.22,91,sunny,summer,60,22
5.53,443,sunny,spring,73,36
2.19,648,windy,spring,68,13
6.5,457,sunny,winter,11,6
9.89,299,windy,spring,20,18
